BookID,Erfolg,verkaufen,besonders,Deal,Begriff,bestimmen,Lärm,Chance,scheinen,Geschäft,Unternehmen,versammeln,Molekül,Lager,Eigentum
11,34,50,80,30,20,2,85,6,38,9,27,65,90,45,77
12,56,110,164,218,272,326,380,434,488,542,596,650,704,758,89
13,30,57,84,111,138,165,192,219,246,273,300,327,354,381,408
14,14,24,34,44,54,64,74,84,94,104,114,124,134,144,154
15,57,109,161,213,265,317,369,421,473,525,577,629,681,733,785
16,80,154,228,302,376,450,524,598,672,746,820,894,968,1042,1116
17,20,33,46,59,72,85,98,111,124,137,150,163,176,189,202
18,92,176,260,344,428,512,596,680,764,848,932,1016,1100,1184,1268
19,35,61,87,113,139,165,191,217,243,269,295,321,347,373,399
20,40,70,100,130,160,190,220,250,280,310,340,370,400,430,460
